VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
3720, 759, -7.4417, -2.5435, 9.5828, 0.92913, 0.29921, -0.2126, 1.00, -0.34646, 0.90551, -0.23622, 1.00, 0.09839, 0.72559, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3721, 758, -7.2953, -2.4707, 9.9229, 0.91339, 0.35433, -0.20472, 1.00, -0.34646, 0.93701, 0.07087, 1.00, 0.09949, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3722, 762, -8.2465, -2.8936, 9.8801, 0.84252, 0.49606, -0.19685, 1.00, -0.51181, 0.85827, -0.02362, 1.00, 0.08807, 0.72461, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3723, 761, -8.2875, -3.0198, 9.6545, 0.81102, 0.55118, -0.1811, 1.00, -0.5748, 0.81102, -0.12598, 1.00, 0.08728, 0.72705, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3724, 759, -7.4417, -2.5435, 9.5828, 0.92913, 0.29921, -0.2126, 1.00, -0.34646, 0.90551, -0.23622, 1.00, 0.09839, 0.72559, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3725, 762, -8.2465, -2.8936, 9.8801, 0.84252, 0.49606, -0.19685, 1.00, -0.51181, 0.85827, -0.02362, 1.00, 0.08807, 0.72461, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3726, 763, -8.8901, -3.4487, 10.0876, 0.6063, 0.7874, -0.11024, 1.00, -0.7874, 0.59055, -0.17323, 1.00, 0.07806, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3727, 761, -8.2875, -3.0198, 9.6545, 0.81102, 0.55118, -0.1811, 1.00, -0.5748, 0.81102, -0.12598, 1.00, 0.08728, 0.72705, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3728, 762, -8.2465, -2.8936, 9.8801, 0.84252, 0.49606, -0.19685, 1.00, -0.51181, 0.85827, -0.02362, 1.00, 0.08807, 0.72461, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3729, 761, -8.2875, -3.0198, 9.6545, 0.81102, 0.55118, -0.1811, 1.00, -0.5748, 0.81102, -0.12598, 1.00, 0.08728, 0.72705, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3730, 763, -8.8901, -3.4487, 10.0876, 0.6063, 0.7874, -0.11024, 1.00, -0.7874, 0.59055, -0.17323, 1.00, 0.07806, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3731, 764, -8.8486, -3.5439, 9.8158, 0.6063, 0.7874, -0.11024, 1.00, -0.79528, 0.59843, -0.11811, 1.00, 0.07788, 0.72656, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3732, 765, -8.7942, -3.3149, 10.4921, 0.68504, 0.71654, -0.13386, 1.00, -0.70079, 0.70079, 0.13386, 1.00, 0.07935, 0.71924, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3733, 762, -8.2465, -2.8936, 9.8801, 0.84252, 0.49606, -0.19685, 1.00, -0.51181, 0.85827, -0.02362, 1.00, 0.08807, 0.72461, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3734, 758, -7.2953, -2.4707, 9.9229, 0.91339, 0.35433, -0.20472, 1.00, -0.34646, 0.93701, 0.07087, 1.00, 0.09949, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3735, 765, -8.7942, -3.3149, 10.4921, 0.68504, 0.71654, -0.13386, 1.00, -0.70079, 0.70079, 0.13386, 1.00, 0.07935, 0.71924, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3736, 763, -8.8901, -3.4487, 10.0876, 0.6063, 0.7874, -0.11024, 1.00, -0.7874, 0.59055, -0.17323, 1.00, 0.07806, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3737, 762, -8.2465, -2.8936, 9.8801, 0.84252, 0.49606, -0.19685, 1.00, -0.51181, 0.85827, -0.02362, 1.00, 0.08807, 0.72461, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3738, 766, -9.2258, -4.0724, 10.168, 0.3622, 0.92913, -0.04724, 1.00, -0.92913, 0.3622, -0.02362, 1.00, 0.06989, 0.72314, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3739, 764, -8.8486, -3.5439, 9.8158, 0.6063, 0.7874, -0.11024, 1.00, -0.79528, 0.59843, -0.11811, 1.00, 0.07788, 0.72656, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3740, 763, -8.8901, -3.4487, 10.0876, 0.6063, 0.7874, -0.11024, 1.00, -0.7874, 0.59055, -0.17323, 1.00, 0.07806, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
