VTX,	IDX,	Position.x,	Position.y,	Position.z
4668.0,	955.0,	-2.143906593322754,	-48.89999771118164,	23.80347442626953
4669.0,	956.0,	-4.368464469909668,	-48.41619110107422,	23.38719367980957
4670.0,	953.0,	-3.511861801147461,	-48.54427719116211,	25.77533531188965
4671.0,	954.0,	0.3656630516052246,	-49.528045654296875,	23.986083984375
4672.0,	957.0,	-0.6132936477661133,	-49.156333923339844,	21.327011108398438
4673.0,	955.0,	-2.143906593322754,	-48.89999771118164,	23.80347442626953
4674.0,	956.0,	-4.368464469909668,	-48.41619110107422,	23.38719367980957
4675.0,	955.0,	-2.143906593322754,	-48.89999771118164,	23.80347442626953
4676.0,	958.0,	-2.7648725509643555,	-48.88804626464844,	22.54143524169922
4677.0,	957.0,	-0.6132936477661133,	-49.156333923339844,	21.327011108398438
4678.0,	958.0,	-2.7648725509643555,	-48.88804626464844,	22.54143524169922
4679.0,	955.0,	-2.143906593322754,	-48.89999771118164,	23.80347442626953
4680.0,	958.0,	-2.7648725509643555,	-48.88804626464844,	22.54143524169922
4681.0,	959.0,	-5.446370601654053,	-48.57741165161133,	20.884063720703125
4682.0,	956.0,	-4.368464469909668,	-48.41619110107422,	23.38719367980957
4683.0,	957.0,	-0.6132936477661133,	-49.156333923339844,	21.327011108398438
4684.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4685.0,	958.0,	-2.7648725509643555,	-48.88804626464844,	22.54143524169922
4686.0,	959.0,	-5.446370601654053,	-48.57741165161133,	20.884063720703125
4687.0,	958.0,	-2.7648725509643555,	-48.88804626464844,	22.54143524169922
4688.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4689.0,	957.0,	-0.6132936477661133,	-49.156333923339844,	21.327011108398438
4690.0,	961.0,	-1.8514142036437988,	-49.12034225463867,	18.471704483032227
4691.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4692.0,	959.0,	-5.446370601654053,	-48.57741165161133,	20.884063720703125
4693.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4694.0,	962.0,	-5.935030460357666,	-48.61715316772461,	19.841751098632812
4695.0,	961.0,	-1.8514142036437988,	-49.12034225463867,	18.471704483032227
4696.0,	963.0,	-4.5366291999816895,	-48.89672088623047,	18.340145111083984
4697.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4698.0,	962.0,	-5.935030460357666,	-48.61715316772461,	19.841751098632812
4699.0,	960.0,	-3.7404122352600098,	-49.10783386230469,	19.955852508544922
4700.0,	963.0,	-4.5366291999816895,	-48.89672088623047,	18.340145111083984
4701.0,	961.0,	-1.8514142036437988,	-49.12034225463867,	18.471704483032227
4702.0,	964.0,	-2.730191230773926,	-48.862388610839844,	16.63204574584961
4703.0,	963.0,	-4.5366291999816895,	-48.89672088623047,	18.340145111083984
4704.0,	962.0,	-5.935030460357666,	-48.61715316772461,	19.841751098632812
4705.0,	963.0,	-4.5366291999816895,	-48.89672088623047,	18.340145111083984
4706.0,	965.0,	-6.2125325202941895,	-48.12847137451172,	18.961870193481445
4707.0,	966.0,	-4.653109073638916,	-48.584716796875,	18.089557647705078
