VTX,	IDX,	Position.x,	Position.y,	Position.z
19176.0,	27831.0,	2.7495269775390625,	-8.620583534240723,	152.96165466308594
19177.0,	27829.0,	2.6760406494140625,	-8.662067413330078,	152.72108459472656
19178.0,	27830.0,	2.6405487060546875,	-8.590837478637695,	152.97035217285156
19179.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19180.0,	27828.0,	2.5258331298828125,	-8.604641914367676,	152.7605743408203
19181.0,	27827.0,	2.4525909423828125,	-8.459403991699219,	152.7852783203125
19182.0,	27830.0,	2.6405487060546875,	-8.590837478637695,	152.97035217285156
19183.0,	27828.0,	2.5258331298828125,	-8.604641914367676,	152.7605743408203
19184.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19185.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19186.0,	27831.0,	2.7495269775390625,	-8.620583534240723,	152.96165466308594
19187.0,	27830.0,	2.6405487060546875,	-8.590837478637695,	152.97035217285156
19188.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19189.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19190.0,	27830.0,	2.6405487060546875,	-8.590837478637695,	152.97035217285156
19191.0,	27834.0,	2.8200836181640625,	-8.561491966247559,	153.14459228515625
19192.0,	27831.0,	2.7495269775390625,	-8.620583534240723,	152.96165466308594
19193.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19194.0,	27834.0,	2.8200836181640625,	-8.561491966247559,	153.14459228515625
19195.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19196.0,	27835.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19197.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19198.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19199.0,	27836.0,	2.7126235961914062,	-8.48835277557373,	153.16448974609375
19200.0,	27837.0,	2.9031906127929688,	-8.44765853881836,	153.35292053222656
19201.0,	27833.0,	2.7513504028320312,	-8.54656982421875,	153.1461639404297
19202.0,	27836.0,	2.7126235961914062,	-8.48835277557373,	153.16448974609375
19203.0,	27832.0,	2.5658340454101562,	-8.483612060546875,	152.9938201904297
19204.0,	27838.0,	2.7088775634765625,	-8.413740158081055,	153.17193603515625
19205.0,	27836.0,	2.7126235961914062,	-8.48835277557373,	153.16448974609375
