VTX,	IDX,	Position.x,	Position.y,	Position.z
6846.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6847.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6848.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6849.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6850.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6851.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6852.0,	1700.0,	9.496789932250977,	-1.3781193494796753,	2.8323800563812256
6853.0,	1744.0,	9.166080474853516,	-1.7864093780517578,	3.0294699668884277
6854.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6855.0,	1744.0,	9.166080474853516,	-1.7864093780517578,	3.0294699668884277
6856.0,	1700.0,	9.496789932250977,	-1.3781193494796753,	2.8323800563812256
6857.0,	1699.0,	9.357830047607422,	-1.6769894361495972,	2.662899971008301
6858.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6859.0,	1745.0,	8.972698211669922,	-1.7915644645690918,	3.3960206508636475
6860.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6861.0,	1745.0,	8.972698211669922,	-1.7915644645690918,	3.3960206508636475
6862.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6863.0,	1744.0,	9.166080474853516,	-1.7864093780517578,	3.0294699668884277
6864.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6865.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6866.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6867.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6868.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6869.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6870.0,	1745.0,	8.972698211669922,	-1.7915644645690918,	3.3960206508636475
6871.0,	1747.0,	8.7733793258667,	-1.7999274730682373,	3.7426111698150635
6872.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6873.0,	1747.0,	8.7733793258667,	-1.7999274730682373,	3.7426111698150635
6874.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6875.0,	1743.0,	9.063751220703125,	-1.4307680130004883,	3.6156206130981445
6876.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6877.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6878.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6879.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6880.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6881.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6882.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6883.0,	1747.0,	8.7733793258667,	-1.7999274730682373,	3.7426111698150635
6884.0,	1749.0,	8.621541976928711,	-1.831762433052063,	3.929471731185913
6885.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6886.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6887.0,	1750.0,	8.696080207824707,	-1.4578574895858765,	4.150860786437988
6888.0,	1749.0,	8.621541976928711,	-1.831762433052063,	3.929471731185913
6889.0,	1750.0,	8.696080207824707,	-1.4578574895858765,	4.150860786437988
6890.0,	1746.0,	8.86094856262207,	-1.3520004749298096,	4.009203910827637
6891.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6892.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6893.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
6894.0,	1750.0,	8.696080207824707,	-1.4578574895858765,	4.150860786437988
6895.0,	1752.0,	8.722358703613281,	-1.3795125484466553,	4.533260822296143
6896.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6897.0,	1752.0,	8.722358703613281,	-1.3795125484466553,	4.533260822296143
6898.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
6899.0,	1748.0,	8.887236595153809,	-1.2321661710739136,	4.499383926391602
6900.0,	1749.0,	8.621541976928711,	-1.831762433052063,	3.929471731185913
6901.0,	1753.0,	8.540092468261719,	-1.6374653577804565,	4.293529510498047
6902.0,	1750.0,	8.696080207824707,	-1.4578574895858765,	4.150860786437988
6903.0,	1752.0,	8.722358703613281,	-1.3795125484466553,	4.533260822296143
6904.0,	1750.0,	8.696080207824707,	-1.4578574895858765,	4.150860786437988
6905.0,	1753.0,	8.540092468261719,	-1.6374653577804565,	4.293529510498047
6906.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6907.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6908.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
6909.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6910.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6911.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6912.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
6913.0,	1752.0,	8.722358703613281,	-1.3795125484466553,	4.533260822296143
6914.0,	1755.0,	8.734752655029297,	-1.4969122409820557,	4.861611366271973
6915.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6916.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6917.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6918.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6919.0,	1756.0,	9.305419921875,	-1.6624294519424438,	6.024809837341309
6920.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6921.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
6922.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6923.0,	1754.0,	9.028420448303223,	-1.4669893980026245,	5.405900001525879
6924.0,	1755.0,	8.734752655029297,	-1.4969122409820557,	4.861611366271973
6925.0,	1757.0,	8.855252265930176,	-1.6440973281860352,	5.319027423858643
6926.0,	1751.0,	8.869539260864258,	-1.334053635597229,	4.912301540374756
